Name,Registration_Number,Email,Status
Ahmed Ali,REG001,ahmed@university.edu,active
Fatima Khan,REG002,fatima@university.edu,active
Hassan Mohamed,REG003,hassan@university.edu,active
Layla Ahmed,REG004,layla@university.edu,active
Sara Ibrahim,REG005,sara@university.edu,active
Mohammad Ali,REG006,mohammad@university.edu,active
Noor Abdullah,REG007,noor@university.edu,active
Amira Hassan,REG008,amira@university.edu,active
Karim Farooq,REG009,karim@university.edu,active
Leila Ahmed,REG010,leila@university.edu,active
